model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg	drift	69	section	children[0]/y: number mismatch (32.0 != 42.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg.json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt	drift	69	section	children[0]/y: number mismatch (32.0 != 42.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt.json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg	drift	187	section	children[0]/y: number mismatch (96.5 != 120.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg.json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt	drift	187	section	children[0]/y: number mismatch (96.5 != 120.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt.json
realworld/ptolemy/flattened/algebraic_rlc_RLC.elkg	drift	107	section	children[0]/x: number mismatch (653.0 != 657.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/algebraic_rlc_RLC.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/algebraic_rlc_RLC.elkg.json
realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt	drift	107	section	children[0]/x: number mismatch (653.0 != 657.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt.json
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg	drift	200	section	children[0]/x: number mismatch (1343.0 != 563.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg.json
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt	drift	200	section	children[0]/x: number mismatch (1343.0 != 563.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt.json
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg	drift	200	coordinate	children[0]/x: number mismatch (1559.0 != 1659.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg.json
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt	drift	200	coordinate	children[0]/x: number mismatch (1559.0 != 1659.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity/rust/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt.json
